Name,Date,Topic
W0 M:,"January 25, 2023",Introduction
W1  M:,"January 30, 2023",Introduction
W1 W:,"February 1, 2023",Intro to R and Rstudio
W2 M:,"February 6, 2023",Intro to R and Rstudio
W2 W:,"February 8, 2023",Reports with R Markdown
No class - College Closed,"February 13, 2023",
W3 W:,"February 15, 2023",Reports with R Markdown
No class - College closed,"February 20, 2023",
W4 T(M):,"February 21, 2023",Data Visualisation
W4 W:,"February 22, 2023",Data Visualisation
W5 M:,"February 27, 2023",Data Import
W5 W:,"March 1, 2023",Data Import
W6 M:,"March 6, 2023",Data Summaries
W6 W:,"March 8, 2023",Data Summaries
W7 M:,"March 13, 2023",More ggplot2
W7 W:,"March 15, 2023",More ggplot2
W8 M:,"March 20, 2023",Data Relations
W8 W:,"March 22, 2023",Data Relations
W9 M:,"March 27, 2023",Practice Report
W9 W:,"March 29, 2023",Practice Report
W10 M:,"April 3, 2023",Practice Report
Spring Break,"April 5, 2023",
Spring Break,"April 12, 2023",
W11 M:,"April 17, 2023",Data Tidying
W11 W:,"April 19, 2023",Data Tidying
W12 M:,"April 24, 2023",Data Wrangling
W12 W:,"April 26, 2023",Data Wrangling
W13 M:,"May 1, 2023",Customising Visualizations & Reports
W13 W:,"May 3, 2023",Customising Visualizations & Reports
W14 M:,"May 8, 2023",Tidy Tuesday
W14 W:,"May 10, 2023",Tidy Tuesday
Reading Day,"May 12, 2023",
W15 M:,"May 15, 2023",Wrap-up
Last day of classes,"May 16, 2023",
W15 M:,"May 17, 2023",Final Exam Period 10:30am - 12:30pm
